# Index	M_int	Con
177	2.744168e+11	3.763445e+01
178	4.151486e+11	1.269072e+01
179	2.522038e+11	2.824899e+01
180	4.338590e+11	1.722591e+01
181	2.948164e+11	1.034312e+01
182	2.951879e+11	7.451306e+01
183	3.003597e+11	2.046050e+01
184	4.046053e+11	3.043084e+01
185	3.328613e+11	9.593363e+00
186	2.863683e+11	4.932719e+01
187	2.507254e+11	1.231201e+01
188	2.387107e+11	5.534858e+01
189	2.873099e+11	2.519979e+01
190	3.550461e+11	5.101967e+01
191	3.792706e+11	2.638321e+01
192	4.809486e+11	2.516552e+01
193	3.250259e+11	5.947254e+00
194	2.340651e+11	2.639565e-03
195	2.600783e+11	5.842177e+01
196	4.509080e+11	1.265184e+01
197	4.130961e+11	1.523166e+01
198	4.414906e+11	1.897350e+01
199	3.219159e+11	2.116941e+01
200	3.597165e+11	5.688622e+01
201	2.217076e+11	4.662288e+01
202	1.878689e+11	3.441209e+01
203	3.338160e+11	2.141810e+00
204	2.485153e+11	8.556686e+00
205	2.566667e+11	2.130258e+01
206	1.944723e+11	2.422145e+00
207	3.151826e+11	1.458454e+01
208	3.055014e+11	2.981780e-03
209	3.716613e+11	4.764553e+01
210	3.109089e+11	3.014475e+01
211	3.745495e+11	3.564500e+01
212	4.685815e+11	2.053083e+01
213	2.233234e+11	3.283461e+01
214	3.719385e+11	3.129817e+01
215	4.042006e+11	1.078826e+01
216	2.355442e+11	3.503610e+01
217	5.299163e+11	1.580831e+01
218	1.401517e+11	1.865450e+01
219	4.015776e+11	1.278266e+01
220	4.353033e+11	5.184731e+01
221	4.084480e+11	5.711052e+01
222	2.653289e+11	1.119327e+00
223	2.553506e+11	5.814831e+01
224	2.738820e+11	7.102679e+01
225	4.450126e+11	9.058941e+00
226	2.729684e+11	5.959602e+01
227	2.891964e+11	4.320057e+01
228	3.277819e+11	4.435171e+01
229	3.299916e+11	3.961008e+01
230	2.783802e+11	3.280663e+01
231	2.464185e+11	3.483149e+01
232	4.219995e+11	2.024910e+00
233	3.928010e+11	2.630867e+01
234	3.086189e+11	4.511080e+01
235	3.284779e+11	4.434383e+01
236	3.666966e+11	2.086996e-01
237	3.190911e+11	1.230938e+01
238	2.902491e+11	4.471870e+01
239	3.191598e+11	4.161174e-01
240	2.902911e+11	3.230726e+01
241	2.800203e+11	9.437404e+00
242	2.889241e+11	3.149417e+01
243	2.189700e+11	5.158358e+00
244	3.731193e+11	1.422800e+01
245	3.225172e+11	5.091106e+01
246	3.738201e+11	2.106055e+01
247	3.088175e+11	2.937650e+01
248	2.667117e+11	6.964527e+00
249	2.141868e+11	2.357928e+01
250	3.174376e+11	1.181954e+01
251	2.891377e+11	2.037763e+01
252	2.651849e+11	2.013517e+01
253	2.163697e+11	4.161912e+00
254	2.494845e+11	2.013221e+01
255	4.114160e+11	2.398005e+01
256	2.926876e+11	4.355694e+01
257	2.670348e+11	4.177423e+01
258	3.886672e+11	7.234746e+00
259	3.905863e+11	1.201090e+01
260	3.914061e+11	1.827274e+01
261	2.174346e+11	4.315697e+00
262	3.947341e+11	1.813510e+01
263	2.590749e+11	3.742267e-03
264	2.694575e+11	3.207076e+01
265	3.534556e+11	5.918754e+00
266	2.652124e+11	4.323323e+01
267	2.656482e+11	2.516776e+00
268	4.352810e+11	3.924842e+01
269	3.621386e+11	2.769886e+01
270	2.512532e+11	3.642819e+01
271	2.191309e+11	4.803663e+01
272	3.321918e+11	1.472547e+01
273	2.942277e+11	6.541425e+01
274	2.287634e+11	2.658250e-03
275	4.544358e+11	4.238392e+01
276	3.930340e+11	2.190529e+01
277	2.925303e+11	3.179911e+01
278	2.416681e+11	6.399997e+01
279	2.178755e+11	5.662449e+00
280	4.881092e+11	3.042177e+01
281	2.974449e+11	2.909825e-03
282	3.538328e+11	7.535391e+01
283	3.459521e+11	4.476916e+01
284	4.326235e+11	3.113845e+01
285	3.156390e+11	6.596594e+01
286	4.650641e+11	4.113725e+01
287	3.471470e+11	4.148086e+01
288	2.886813e+11	2.045283e+01
289	1.819266e+11	3.793486e+00
290	3.720397e+11	1.990831e+01
291	2.510241e+11	2.597575e-03
292	3.310673e+11	2.167711e+01
293	4.079846e+11	3.085247e+01
294	2.146946e+11	3.284970e+00
295	2.041195e+11	3.970401e+01
296	2.143956e+11	3.840673e+00
297	1.691891e+11	8.097629e+00
298	4.059199e+11	3.400644e+01
299	4.046106e+11	1.844405e+00
300	2.751343e+11	4.344264e-01
301	2.351144e+11	1.570200e+01
302	2.136114e+11	3.293331e+01
303	2.342253e+11	1.406299e+01
304	2.776413e+11	3.850537e+01
305	2.073111e+11	3.526224e+01
306	1.416256e+11	4.531355e+01
307	2.236450e+11	2.257841e+00
308	4.253940e+11	4.776163e+01
309	2.810041e+11	4.256784e+01
310	4.072958e+11	1.780145e+01
311	2.851044e+11	3.158694e+01
312	2.436607e+11	9.485863e-01
313	3.673885e+11	2.997266e+01
314	2.695463e+11	1.709309e+01
315	2.852132e+11	5.081726e+01
316	1.977889e+11	1.625069e+01
317	3.246148e+11	2.734807e+00
318	3.805339e+11	1.779760e+01
319	2.232516e+11	3.454232e+01
320	3.250052e+11	2.028190e+01
321	3.939332e+11	9.405070e+00
322	1.966429e+11	3.509802e+01
323	4.343931e+11	1.126802e+01
324	3.047054e+11	5.409182e+01
325	2.670272e+11	3.503730e+01
326	2.667221e+11	1.737462e+01
327	4.528441e+11	2.255124e+01
328	2.038895e+11	1.309766e+00
329	3.985501e+11	4.613102e+01
330	2.130846e+11	2.426368e-03
331	3.245749e+11	5.030606e+01
332	2.532742e+11	6.470882e+00
333	3.480784e+11	3.355115e+01
334	2.289501e+11	3.968106e+01
335	3.405228e+11	1.828091e+01
336	1.883443e+11	6.124716e+01
337	3.380622e+11	2.816960e-03
338	2.641297e+11	3.766469e+01
339	2.400992e+11	1.025556e+01
340	4.025266e+11	3.191445e+01
341	1.756588e+11	1.550606e+01
342	2.173165e+11	1.224154e+01
343	2.148527e+11	5.676682e+01
344	2.853682e+11	2.721651e+01
345	2.312336e+11	2.788863e+01
346	2.201025e+11	9.863702e+00
347	3.511487e+11	5.529622e+01
348	2.883109e+11	1.064422e+01
349	2.945391e+11	1.728271e+01
350	3.096690e+11	5.228973e+01
351	2.697616e+11	9.089342e+00
352	2.904142e+11	5.814036e+01
353	2.633055e+11	5.235962e+01
354	1.499771e+11	2.034146e+01
355	2.576629e+11	2.516763e+01
356	2.651968e+11	2.624013e-03
357	3.581002e+11	1.215379e+01
358	4.494948e+11	3.379503e+01
359	3.213426e+11	2.532924e+00
360	2.188854e+11	3.356288e+01
361	2.995150e+11	2.468359e+00
362	2.467396e+11	2.008518e+01
363	5.171215e+11	1.723801e+01
364	2.081850e+11	4.144149e+01
365	3.124191e+11	8.451987e-01
366	4.615328e+11	1.599350e+01
367	2.801587e+11	3.043060e+01
368	4.648158e+11	1.069537e+01
369	2.488468e+11	6.665158e+01
370	5.068881e+11	1.889137e+01
371	3.302108e+11	4.301366e+01
372	3.409263e+11	2.209640e+01
373	2.281302e+11	1.464119e+00
374	2.871233e+11	6.206186e+01
375	2.590977e+11	5.043599e+01
376	2.183455e+11	3.853349e+01
377	1.924057e+11	1.759637e+01
378	3.817895e+11	3.656763e+01
379	2.270028e+11	1.051931e+01
380	3.766614e+11	8.356725e+01
381	3.548892e+11	5.178637e+01
382	2.640809e+11	3.021190e+01
383	5.187167e+11	1.556032e+01
384	2.863240e+11	3.230483e+01
385	2.297852e+11	4.612918e+01
386	3.722763e+11	2.036718e+01
387	4.422669e+11	3.693137e+01
388	2.678461e+11	1.817708e+01
389	2.852489e+11	3.493297e+00
390	2.863788e+11	2.646318e+01
391	4.265149e+11	3.855146e-01
392	3.553520e+11	4.281547e+01
393	4.215870e+11	4.826426e-03
394	2.752023e+11	1.835239e+01
395	3.216144e+11	5.835066e+00
396	3.213048e+11	3.197750e+01
397	2.562541e+11	7.743916e+01
398	2.204284e+11	1.754929e+00
399	2.719675e+11	2.248711e+01
400	3.681500e+11	3.810185e+01
401	3.527223e+11	9.086428e+00
402	3.243670e+11	2.952089e-03
403	3.338396e+11	2.222462e+01
404	2.258368e+11	2.993408e+01
